id,comment,topic,article_title,article_url,score
19199254,"حبذا لو تم تفعيل تبادل الخبرات في مجال الاعمال التي تسمح لليد العاملة المغريية بالهجرة الى لا تفيا
المغاربة مغامرون وتواقون للهحرة
ابحثو لهم عن المنافد  وافتحولهم الابواب والنوافد فلن يبقى في المغرب الا القنافد .",سياسة,لاتفيا تتطلع إلى التعاون مع المغرب,https://www.hespress.com/%d9%84%d8%a7%d8%aa%d9%81%d9%8a%d8%a7-%d8%aa%d8%aa%d8%b7%d9%84%d8%b9-%d8%a5%d9%84%d9%89-%d8%a7%d9%84%d8%aa%d8%b9%d8%a7%d9%88%d9%86-%d9%85%d8%b9-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8-1469035.html,1
19199248,السجن ليس حلا لمشكل التحرش بل يجب بسط مقاربة شاملة ترتكز على التوعية والاحترام المتبادل.,مجتمع,هل تردع إدانة قاصرين بالحبس النافذ سلوكات التحرش في شوارع المغرب؟,https://www.hespress.com/%d9%87%d9%84-%d8%aa%d8%b1%d8%af%d8%b9-%d8%a5%d8%af%d8%a7%d9%86%d8%a9-%d9%82%d8%a7%d8%b5%d8%b1%d9%8a%d9%86-%d8%a8%d8%a7%d9%84%d8%ad%d8%a8%d8%b3-%d8%a7%d9%84%d9%86%d8%a7%d9%81%d8%b0-%d8%b3%d9%84%d9%88-1469157.html,6
19199252,"قاصرين؟واش باقي شي قاصر في هادالزمان؟ولاوا كايحسنوا الواحدبلا ماء.
3سنوات وقلييييلة في حقهم، هادوالي لي ماعاجبهمش الحال وقالوا الحكم قاسي، الله يحفظ كون  كانت بنتهم هي لي تعرضات لهاد الفعل الإجرامي  واش كانوا غادين يعلقوا على الحكم؟
باركة من التشجيع على القيام بالأفعال الإجرامية. قاصر ولا ماشي قاصر، لي دار الذنب يستاهل العقوبة وانتهى الأمر.",مجتمع,هل تردع إدانة قاصرين بالحبس النافذ سلوكات التحرش في شوارع المغرب؟,https://www.hespress.com/%d9%87%d9%84-%d8%aa%d8%b1%d8%af%d8%b9-%d8%a5%d8%af%d8%a7%d9%86%d8%a9-%d9%82%d8%a7%d8%b5%d8%b1%d9%8a%d9%86-%d8%a8%d8%a7%d9%84%d8%ad%d8%a8%d8%b3-%d8%a7%d9%84%d9%86%d8%a7%d9%81%d8%b0-%d8%b3%d9%84%d9%88-1469157.html,8
19199253,هذه الأحكام هي عبرة لكل من سولت له نفسه الإعتداء على الفتياة بالتحرش لكن على فتياتنا المسلمات لبس زيا محتشما حتى لا يستفزوا مشاعر الشباب المراهق.,مجتمع,هل تردع إدانة قاصرين بالحبس النافذ سلوكات التحرش في شوارع المغرب؟,https://www.hespress.com/%d9%87%d9%84-%d8%aa%d8%b1%d8%af%d8%b9-%d8%a5%d8%af%d8%a7%d9%86%d8%a9-%d9%82%d8%a7%d8%b5%d8%b1%d9%8a%d9%86-%d8%a8%d8%a7%d9%84%d8%ad%d8%a8%d8%b3-%d8%a7%d9%84%d9%86%d8%a7%d9%81%d8%b0-%d8%b3%d9%84%d9%88-1469157.html,4
19199255,إنما  الأمم اخلاق ،فإن ذهبت اخلاقهم ذهبوا  !! فويل للابوين الذين يرمون صغارهم إلى  الازقات بدون رقابة ولا نهي !فهذا الذي  يجري في شوارعنا وازقاتنا هو ثمار ما  تخلينا عنه من مسؤوليتنا أمام  اولادنا.,مجتمع,هل تردع إدانة قاصرين بالحبس النافذ سلوكات التحرش في شوارع المغرب؟,https://www.hespress.com/%d9%87%d9%84-%d8%aa%d8%b1%d8%af%d8%b9-%d8%a5%d8%af%d8%a7%d9%86%d8%a9-%d9%82%d8%a7%d8%b5%d8%b1%d9%8a%d9%86-%d8%a8%d8%a7%d9%84%d8%ad%d8%a8%d8%b3-%d8%a7%d9%84%d9%86%d8%a7%d9%81%d8%b0-%d8%b3%d9%84%d9%88-1469157.html,4
19199256,خاصهم يديرو لهم عقوبات تربوية ويقومو بأشغال لفائدة الدولة ،كنظافة الشوارع،او المساهمة في اعمال خيرية لفائدة دار الايتام ودار العجزة و … كما يفعل في الدول المتقدة. أما السجن فوالله سيحول هؤلاء القاصرين الى مجرمين بمعنى الكلمة.,مجتمع,هل تردع إدانة قاصرين بالحبس النافذ سلوكات التحرش في شوارع المغرب؟,https://www.hespress.com/%d9%87%d9%84-%d8%aa%d8%b1%d8%af%d8%b9-%d8%a5%d8%af%d8%a7%d9%86%d8%a9-%d9%82%d8%a7%d8%b5%d8%b1%d9%8a%d9%86-%d8%a8%d8%a7%d9%84%d8%ad%d8%a8%d8%b3-%d8%a7%d9%84%d9%86%d8%a7%d9%81%d8%b0-%d8%b3%d9%84%d9%88-1469157.html,5
19199241,",, .
 . ,   …الفنانة هند اعطت الكثير للاغنية المغربية فهي فنانة مجددة في فن العيطة الاصيل ولها افاق مرموقة في هذا المضمار اتمنى لها التوفيق
حبذا. لو تعاملت مع الملحن الكبير  ريدوان.",فن وثقافة,الداودية تمزج الشعبي والرومانسي,https://www.hespress.com/%d8%a7%d9%84%d8%af%d8%a7%d9%88%d8%af%d9%8a%d8%a9-%d8%aa%d9%85%d8%b2%d8%ac-%d8%a7%d9%84%d8%b4%d8%b9%d8%a8%d9%8a-%d9%88%d8%a7%d9%84%d8%b1%d9%88%d9%85%d8%a7%d9%86%d8%b3%d9%8a-1469220.html,1
19199249,لاشيء يتحقق على أرض الواقع صندوق الكوارث سبب الكوارث,مجتمع,ندوة تلامس تدبير المغرب للكوارث,https://www.hespress.com/%d9%86%d8%af%d9%88%d8%a9-%d8%aa%d9%84%d8%a7%d9%85%d8%b3-%d8%aa%d8%af%d8%a8%d9%8a%d8%b1-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8-%d9%84%d9%85%d8%ae%d8%a7%d8%b7%d8%b1-%d8%a7%d9%84%d9%83%d9%88%d8%a7%d8%b1-1469352.html,0
19199227,صيانة السدود ضرورية ومؤكدة لأن لا يعقل من خلال المعطيات التي تعطى للمغاربة من خلال نسبة ملء السدود تكون مرتفعة جدا وهي في الأصل نصفها أو أكثر أوحال مترسبة منذ انشائها. لغة الأرقام يجب أن تكون صادقة لأن العقل والزمن يكشفها.,جهات,وزارة الماء تواجه توحّل السدود بتحيين سعة الحقينات ودراسات سبر الأعماق,https://www.hespress.com/%d9%88%d8%b2%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d9%85%d8%a7%d8%a1-%d8%aa%d9%88%d8%a7%d8%ac%d9%87-%d8%aa%d9%88%d8%ad%d9%91%d9%84-%d8%a7%d9%84%d8%b3%d8%af%d9%88%d8%af-%d8%a8%d8%aa%d8%ad%d9%8a%d9%8a%d9%86-1469190.html,1
19199231,"اللهم إنا نعوذ بك أن تلبسنا لباس
الجوع والخوف والمرض بذنوبنا
استغفر الله العظيم
اللهم اسقينا الغيث ولا تجعلنا من القانطين
اللهم صل وسلم على سيدنا محمد وعلى آله وصحبه وسلم تسليما كثيراالاعتراف بالذنوب والإستغفار إلى الغفار  يرفع البلاء ويشفي الأسقام ويوسع الأرزاق ويصلح الأحوال ويؤدي الديون  ويسخر لك جنود السماوات والأرض
ولله جنود السماوات والأرض…اللهم صل وسلم على سيدنا محمد وعلى آله وصحبه وسلم تسليما كثيرا",جهات,وزارة الماء تواجه توحّل السدود بتحيين سعة الحقينات ودراسات سبر الأعماق,https://www.hespress.com/%d9%88%d8%b2%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d9%85%d8%a7%d8%a1-%d8%aa%d9%88%d8%a7%d8%ac%d9%87-%d8%aa%d9%88%d8%ad%d9%91%d9%84-%d8%a7%d9%84%d8%b3%d8%af%d9%88%d8%af-%d8%a8%d8%aa%d8%ad%d9%8a%d9%8a%d9%86-1469190.html,1
19199244,يُظهر الجواب الرسمي لوزارة التجهيز والماء وعياً بالمشكلة وأسبابها الطبيعية والبشرية، مع الإشارة إلى الجهود المبذولة للتعامل معها عبر تدابير وقائية وعلاجية. ومع ذلك، يظل السؤال قائماً حول مدى فعالية هذه التدابير في ظل التغيرات المناخية المتسارعة وزيادة الضغط البشري على البيئة. من المهم تعزيز العمل على حماية الأحواض المائية، تشجير المناطق المتدهورة، وتطوير حلول مبتكرة لضمان استدامة هذه المنشآت الحيوية التي تلعب دوراً أساسياً في الأمن المائي والاقتصادي للبلاد.,جهات,وزارة الماء تواجه توحّل السدود بتحيين سعة الحقينات ودراسات سبر الأعماق,https://www.hespress.com/%d9%88%d8%b2%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d9%85%d8%a7%d8%a1-%d8%aa%d9%88%d8%a7%d8%ac%d9%87-%d8%aa%d9%88%d8%ad%d9%91%d9%84-%d8%a7%d9%84%d8%b3%d8%af%d9%88%d8%af-%d8%a8%d8%aa%d8%ad%d9%8a%d9%8a%d9%86-1469190.html,1
19199245,"حقيقة إنتاج نسخة مغربية من “الحكرة”
الحكرة تهيمن على معظم المواطنين المغاربة خاصة فيما يتعلق بماربهم الادارية والشغل والتطبيب والتعليم .
لابد من انتاج مسلسلات  تمثل الواقع  المزري الذي تعيشه الطبقة الفقيرة في وطن النحوم .
الحكرة اصبحت مالوفة عندنا ولا يمكن القضاء عليها الا بتظافر الجهود بين الطبقة الفقيرة المهضومة والطبقة المتوسطة التي هي في طور الانقراض بسبب السياسة التي تنهجها الحكومة حاليا.",فن وثقافة,حقيقة إنتاج نسخة مغربية من الحفرة,https://www.hespress.com/%d8%ad%d9%82%d9%8a%d9%82%d8%a9-%d8%a5%d9%86%d8%aa%d8%a7%d8%ac-%d9%86%d8%b3%d8%ae%d8%a9-%d9%85%d8%ba%d8%b1%d8%a8%d9%8a%d8%a9-%d9%85%d9%86-%d8%a7%d9%84%d8%ad%d9%81%d8%b1%d8%a9-1469038.html,1
19199246,"يفترض التعامل مع ظاهرة التغير المناخي بجدية لأن كل النماذج المناخية تجمع على أن دول شمال أفريقيا من الأكبر الدول تهديدا بالتغير المناخي .
لذا على الدولة رسم آليات التخفيف و التكيف مع هذا التهديد  بالرغم من الجهود الجبارة التي تقوم بها الدولة من خلال الطاقات النظيفة .",بيئة وعلوم,تصنيف المغرب في مؤشر الأداء المناخي يثير نقاشا حول المعايير والمنهجية,https://www.hespress.com/%d8%aa%d8%b5%d9%86%d9%8a%d9%81-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8-%d9%81%d9%8a-%d9%85%d8%a4%d8%b4%d8%b1-%d8%a7%d9%84%d8%a3%d8%af%d8%a7%d8%a1-%d8%a7%d9%84%d9%85%d9%86%d8%a7%d8%ae%d9%8a-%d9%8a-1469018.html,0
